Source,Target,Type,Weight,cooc,npmi,jaccard,surprise,is_new
t:ニュース,policy:nihon_isan,Undirected,0.4237,5,0.4237,0.125,-0.5042,False
t:新潟市,t:文化政策,Undirected,0.4235,2,0.4235,0.0833,-0.4218,False
t:文化財,t:研究,Undirected,0.4235,2,0.4235,0.0833,0.2911,False
t:文化政策,t:海外,Undirected,0.4235,2,0.4235,0.0833,-0.4218,False
t:地域,t:事業,Undirected,0.4193,3,0.4193,0.1304,-0.4295,False
t:廃棄,t:TOKYO,Undirected,0.4193,2,0.4193,0.1053,0.5114,False
t:博物館,t:収蔵品,Undirected,0.4175,5,0.4175,0.122,-0.4241,False
t:会議,t:日本,Undirected,0.4172,2,0.4172,0.1111,-0.4218,False
t:長官,org:bunkacho,Undirected,0.4163,4,0.4163,0.0656,-0.4114,False
t:枚目,org:bunkacho,Undirected,0.4163,4,0.4163,0.0656,-0.4114,False
t:求める,policy:shitei_kanrisha,Undirected,0.4072,2,0.4072,0.1,-0.3964,False
policy:bunka_kanko_suishinho,t:拠点,Undirected,0.4034,2,0.4034,0.1053,-0.4066,False
t:歴史,policy:nihon_isan,Undirected,0.3999,5,0.3999,0.122,-0.4771,False
t:歴史,t:地域,Undirected,0.3996,2,0.3996,0.1111,0.7375,False
t:売買,org:bunkacho,Undirected,0.3962,5,0.3962,0.0806,-0.3906,False
t:改正,t:求める,Undirected,0.3959,2,0.3959,0.0952,-0.3849,False
t:国立博物館,t:美術館,Undirected,0.3955,3,0.3955,0.0789,-0.3836,False
t:不正利用,org:bunkacho,Undirected,0.3922,3,0.3922,0.0492,-0.387,False
t:彦根城,org:bunkacho,Undirected,0.3922,3,0.3922,0.0492,-0.387,False
t:群馬,org:bunkacho,Undirected,0.3922,3,0.3922,0.0492,-0.387,False
t:登録,t:博物館,Undirected,0.3919,6,0.3919,0.1364,-0.3981,False
t:文化芸術,t:支援,Undirected,0.3905,2,0.3905,0.1,-0.3794,False
t:支援,t:拠点,Undirected,0.3905,2,0.3905,0.1,-0.3794,False
t:明記,t:博物館,Undirected,0.39,3,0.39,0.0769,0.3699,False
t:計画,t:認定,Undirected,0.3896,5,0.3896,0.1351,0.1929,False
t:開く,policy:nihon_isan,Undirected,0.3853,2,0.3853,0.0541,-0.4287,False
t:中期目標,t:美術館,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:ノルマ,t:美術館,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:牧野植物園,t:美術館,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:高知県立,t:美術館,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:美ら島財団,t:美術館,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
